date,crmid,sku
2020-12-01,1878633889573589870957921,prd1107
2020-12-01,1878633889573589870957921,prd1069
2020-12-01,1878633889573589870957921,prd1060
2020-12-01,1878633889573589870957921,prd1053
2020-12-01,1878633889573589870957921,prd1052
2020-12-01,1878633889573589870957921,prd1019
2020-12-01,1878633889573589870957921,prd1013
2020-12-01,1878633889573589870958000,prd1196
2020-12-01,1878633889573589870958000,prd1157
2020-12-01,1878633889573589870958000,prd1154
2020-12-01,1878633889573589870958000,prd1135
2020-12-01,1878633889573589870958000,prd1121
2020-12-01,1878633889573589870958000,prd1116
2020-12-01,1878633889573589870958000,prd1071
2020-12-01,1878633889573589870958000,prd1008
2020-12-01,1878633889573589870957885,prd1192
2020-12-01,1878633889573589870957885,prd1158
2020-12-01,1878633889573589870957885,prd1019
2020-12-01,1878633889573589870957885,prd1006
2020-12-01,1878633889573589870957942,prd1082
2020-12-01,1878633889573589870957942,prd1079
2020-12-01,1878633889573589870957942,prd1054
2020-12-01,1878633889573589870957935,prd1148
2020-12-01,1878633889573589870957935,prd1130
2020-12-01,1878633889573589870957935,prd1104
2020-12-01,1878633889573589870957935,prd1084
2020-12-01,1878633889573589870957935,prd1038
2020-12-01,8011908053051625745584121,prd1090
2020-12-01,8011908053051625745584121,prd1070
2020-12-01,8011908053051625745584121,prd1045
2020-12-01,2391173791925509538901907,prd1177
2020-12-01,2391173791925509538901907,prd1019
2020-12-01,2391173791925509538901907,prd1009
2020-12-01,2220501957746106109511237,prd1170
2020-12-01,2220501957746106109511237,prd1040
2020-12-01,2220501957746106109511237,prd1037
2020-12-01,2220501957746106109511237,prd1020
2020-12-01,2220501957746106109511237,prd1016
2020-12-01,2220501957746106109511237,prd1009
2020-12-01,2220501957746106109511172,prd1191
2020-12-01,2220501957746106109511172,prd1124
2020-12-01,1878633889573589870958029,prd1150
2020-12-01,1878633889573589870958029,prd1097
2020-12-01,1878633889573589870958029,prd1048
2020-12-01,1878633889573589870958029,prd1012
2020-12-01,1844728671827628874672230,prd1192
2020-12-01,1844728671827628874672230,prd1110
2020-12-01,1812428993456199424669469,prd1164
2020-12-01,1812428993456199424669469,prd1070
2020-12-01,1812428993456199424669469,prd1027
2020-12-01,1812428993456199424669455,prd1082
2020-12-01,1812428993456199424669455,prd1054
2020-12-01,1809902413691316424068724,prd1152
2020-12-01,1809902413691316424068724,prd1088
2020-12-01,1778269363257716985640925,prd1177
2020-12-01,1778269363257716985640925,prd1125
2020-12-01,1778269363257716985640925,prd1095
2020-12-01,1778269363257716985640925,prd1074
2020-12-01,1778269363257716985640925,prd1071
2020-12-01,1778269363257716985640925,prd1015
2020-12-01,1708353532266421807045502,prd1178
2020-12-01,1708353532266421807045502,prd1165
2020-12-01,1708353532266421807045502,prd1148
2020-12-01,1708353532266421807045502,prd1064
2020-12-01,1642297131672313488693058,prd1151
2020-12-01,1642297131672313488693058,prd1099
2020-12-01,1642297131672313488693058,prd1006
2020-12-01,1640035906791238086857346,prd1006
2020-12-01,1640035906791238086857346,prd1004
2020-12-01,1640035906791238086857339,prd1189
2020-12-01,1640035906791238086857339,prd1130
2020-12-01,1640035906791238086857339,prd1011
2020-12-01,8935566054415096826211333,prd1097
2020-12-01,8935566054415096826211333,prd1038
2020-12-01,8935566054415096826211333,prd1009
2020-12-01,8514833434420443253033592,prd1163
2020-12-01,8514833434420443253033592,prd1156
2020-12-01,8514833434420443253033592,prd1150
2020-12-01,8514833434420443253033592,prd1052
2020-12-01,8514833434420443253033592,prd1036
2020-12-01,8514833434420443253033592,prd1017
2020-12-01,8284447668,prd1076
2020-12-01,8135875253990153501500410,prd1177
2020-12-01,8135875253990153501500410,prd1132
2020-12-01,8135875253990153501500410,prd1063
2020-12-01,8135875253990153501500410,prd1046
2020-12-01,8135399985823911998746630,prd1147
2020-12-01,8135399985823911998746630,prd1021
2020-12-01,8135399985823911998746630,prd1014
2020-12-01,8135399985823911998746630,prd1004
2020-12-01,8134938790483279172755852,prd1154
2020-12-01,8134938790483279172755852,prd1118
2020-12-01,8129986456652157358329930,prd1172
2020-12-01,8129085364300746484217612,prd1120
2020-12-01,8127728349833995333816156,prd1120
2020-12-01,8020503784863178766795153,prd1168
2020-12-01,8020503784863178766795153,prd1108
2020-12-01,8020503784863178766795153,prd1087
2020-12-01,8020056690085109768955268,prd1048
2020-12-01,7903351078447737246707357,prd1165
2020-12-01,7903351078447737246707357,prd1076
2020-12-01,7903351078447737246707357,prd1058
2020-12-01,7899736151033062244059598,prd1175
2020-12-01,7897471149450655146504860,prd1114
2020-12-01,7897471149450655146504860,prd1081
2020-12-01,7897471149450655146504860,prd1054
2020-12-01,7789818793508440204006136,prd1069
2020-12-01,7788493775431277099856901,prd1198
2020-12-01,7788493775431277099856901,prd1184
2020-12-01,7788493775431277099856901,prd1167
2020-12-01,7788493775431277099856901,prd1159
2020-12-01,7788493775431277099856901,prd1143
2020-12-01,7788493775431277099856901,prd1123
2020-12-01,7788493775431277099856901,prd1117
2020-12-01,7788493775431277099856901,prd1104
2020-12-01,7788493775431277099856901,prd1095
2020-12-01,7788493775431277099856901,prd1062
2020-12-01,7788493775431277099856901,prd1027
2020-12-01,7788493775431277099856901,prd1023
2020-12-01,7788493775431277099856901,prd1004
2020-12-01,7673120367184655686950954,prd1165
2020-12-01,7673120367184655686950954,prd1111
2020-12-01,7673120367184655686950954,prd1084
2020-12-01,7673120367184655686950954,prd1014
2020-12-01,7668155506362082544610119,prd1171
2020-12-01,7665897551274186934401125,prd1183
2020-12-01,7664982262431046245031864,prd1078
2020-12-01,7557787644082233304493325,prd1091
2020-12-01,7557785967362270636184690,prd1135
2020-12-01,7557785967362270636184690,prd1040
2020-12-01,7552356369981538553323688,prd1051
2020-12-01,7551935949968122838332874,prd1011
2020-12-01,7551905886097845113006240,prd1178
2020-12-01,7551905886097845113006240,prd1163
2020-12-01,7551905886097845113006240,prd1161
2020-12-01,7551905886097845113006240,prd1119
2020-12-01,7551905886097845113006240,prd1096
2020-12-01,7549668974783873065939012,prd1028
2020-12-01,6937042920586663913888915,prd1105
2020-12-01,6630122357815547431826605,prd1163
2020-12-01,6624667955990434776378002,prd1109
2020-12-01,6509808900469812922251818,prd1064
2020-12-01,6508904253716928879720026,prd1015
2020-12-01,6507511875053428389122474,prd1180
2020-12-01,6398506265667917865073265,prd1031
2020-12-01,6398502828488178392924531,prd1005
2020-12-01,6392658098937620310703167,prd1120
2020-12-01,6392658098937620310703167,prd1024
2020-12-01,6392658098937620310703167,prd1001
2020-12-01,6391304576162770448392580,prd1110
2020-12-01,6283175413668571694668797,prd1153
2020-12-01,6283175413668571694668797,prd1058
2020-12-01,6283175413668571694668797,prd1013
2020-12-01,6282746083579080721061053,prd1106
